ABC,ABCGG,nAcid,nBase,SpAbs_A,SpMax_A,SpDiam_A,SpAD_A,SpMAD_A,LogEE_A,VE1_A,nB,nAromAtom,WPath,MW
17.213261503245107,16.059815204624506,0,0,28.76673485666689,2.522420388266117,4.958230025475279,28.76673485666689,1.250727602463778,4.052767402094069,4.072545702282987,0,0,1110,342.11621152400056
17.213261503245107,16.059815204624506,0,0,28.76673485666689,2.522420388266117,4.958230025475279,28.76673485666689,1.250727602463778,4.052767402094069,4.072545702282987,0,0,1110,396.0145506080005
15.315311174583634,13.970681088761477,1,1,25.36766656393099,2.287533490151135,4.575066980302271,25.36766656393099,1.2079841220919518,3.9159987043632425,4.057263074,0,6,1000,294.1215716760005
8.82987961,8.715591237203562,0,0,14.640474984817844,2.4182893140510573,4.8365786281021155,14.640474984817844,1.2200395820681538,3.392013611346317,3.1708715793611466,0,0,178,180.0633881
17.37218013,15.638061370199232,0,0,28.65007669208164,2.4784040495346003,4.876166946,28.65007669208164,1.2456555083513756,4.052400089657054,3.8770745719943758,0,0,1220,342.11621152400056
17.30338063076517,15.389996624398714,0,0,28.792452737129327,2.4441279413879564,4.888255882775915,28.792452737129327,1.2518457711795359,4.046693283242842,4.3780337853940665,0,0,1156,342.11621152400056
7.607684656543615,7.212008092985234,1,1,,,,,,,,0,0,1000000109,200.9498103
8.254930460845697,7.634953775345316,1,1,,,,,,,,0,0,1100000160,201.04355852399996
33.135528557754405,25.344544324050496,0,0,54.06223047904123,2.468329265705117,4.936658531410233,54.06223047904123,1.2572611739311914,4.678352224767049,5.224838487637994,0,12,7160,612.2054205
19.92531792975541,17.56913685562004,1,1,31.85889014,2.3017311251447183,4.603462250289437,31.85889014,1.179958894056448,4.166912379183588,4.451309927459451,0,6,2006,378.2154720600009
9.477125414503673,8.806332736972081,1,1,,,,,,,,0,6,1200000170,204.9809583
8.094413448457095,8.780069363291275,0,0,14.195669358089217,2.2469796037174654,4.493959207434932,14.195669358089216,1.1829724465074347,3.3233807999435294,3.0917782938371916,0,0,206,182.0790382
